subject,predicate,object
Power Steering Fluid,REQUIRES_FIX,Replace Power Steering Fluid
Liquid Systems,HAS_COMPONENT,Radiator
Radiator,SHOWS_SYMPTOM,Engine overheating
Radiator,SHOWS_SYMPTOM,Coolant leak
Radiator,DIAGNOSED_BY,Inspect radiator for leaks or damage
Inspect radiator for leaks or damage,HAS_RESULT,Leaking/damaged radiator
Inspect radiator for leaks or damage,HAS_RESULT,Radiator in good condition
Radiator,DIAGNOSED_BY,Check radiator cap for proper seal
Check radiator cap for proper seal,HAS_RESULT,Loose/broken cap
Check radiator cap for proper seal,HAS_RESULT,Cap seals properly
Radiator,REQUIRES_FIX,Replace Radiator
Liquid Systems,HAS_COMPONENT,Windshield Washer Fluid
Windshield Washer Fluid,SHOWS_SYMPTOM,No washer fluid spray
Windshield Washer Fluid,SHOWS_SYMPTOM,Weak washer fluid spray
Windshield Washer Fluid,DIAGNOSED_BY,Check washer fluid level
Check washer fluid level,HAS_RESULT,Low fluid level
Check washer fluid level,HAS_RESULT,Sufficient fluid level
Windshield Washer Fluid,DIAGNOSED_BY,Inspect washer fluid pump for operation
Inspect washer fluid pump for operation,HAS_RESULT,Faulty pump
Inspect washer fluid pump for operation,HAS_RESULT,Pump operates correctly
Windshield Washer Fluid,REQUIRES_FIX,Replace Windshield Washer Fluid
Transmission,HAS_COMPONENT,Clutch Master Cylinder
Clutch Master Cylinder,SHOWS_SYMPTOM,Soft clutch pedal
Clutch Master Cylinder,SHOWS_SYMPTOM,Clutch slipping
Clutch Master Cylinder,DIAGNOSED_BY,Check clutch fluid level
Check clutch fluid level,HAS_RESULT,Low fluid level
Check clutch fluid level,HAS_RESULT,Sufficient fluid level
Clutch Master Cylinder,DIAGNOSED_BY,Inspect master cylinder for leaks
Inspect master cylinder for leaks,HAS_RESULT,Leaking cylinder
Inspect master cylinder for leaks,HAS_RESULT,Cylinder in good condition
Clutch Master Cylinder,REQUIRES_FIX,Replace Clutch Master Cylinder
Transmission,HAS_COMPONENT,Torque Converter
Torque Converter,SHOWS_SYMPTOM,Slipping gears
Torque Converter,SHOWS_SYMPTOM,Shuddering during acceleration
Torque Converter,DIAGNOSED_BY,Inspect torque converter for leaks or damage
Inspect torque converter for leaks or damage,HAS_RESULT,Leaking/damaged converter
Inspect torque converter for leaks or damage,HAS_RESULT,Converter in good condition
Torque Converter,DIAGNOSED_BY,Check transmission fluid level and condition
Check transmission fluid level and condition,HAS_RESULT,Low/dirty fluid
Check transmission fluid level and condition,HAS_RESULT,Clean/sufficient fluid
Torque Converter,REQUIRES_FIX,Replace Torque Converter
Transmission,HAS_COMPONENT,Transmission Fluid
Transmission Fluid,SHOWS_SYMPTOM,Gears slipping
Transmission Fluid,SHOWS_SYMPTOM,Transmission overheating
Transmission Fluid,DIAGNOSED_BY,Check transmission fluid level and condition
Check transmission fluid level and condition,HAS_RESULT,Low/dirty fluid
Check transmission fluid level and condition,HAS_RESULT,Clean/sufficient fluid
Transmission Fluid,DIAGNOSED_BY,Inspect transmission pan and seals for leaks
Inspect transmission pan and seals for leaks,HAS_RESULT,Leaking pan/seals
Inspect transmission pan and seals for leaks,HAS_RESULT,Pan/seals in good condition
Transmission Fluid,REQUIRES_FIX,Replace Transmission Fluid
Transmission,HAS_COMPONENT,Transmission Filter
Transmission Filter,SHOWS_SYMPTOM,Delayed shifting
Transmission Filter,SHOWS_SYMPTOM,Transmission slipping
Transmission Filter,DIAGNOSED_BY,Inspect transmission filter for clogs or debris
Inspect transmission filter for clogs or debris,HAS_RESULT,Clogged/dirty filter
Inspect transmission filter for clogs or debris,HAS_RESULT,Clean filter
Transmission Filter,DIAGNOSED_BY,Replace transmission filter if necessary
Replace transmission filter if necessary,HAS_RESULT,Replace filter
Replace transmission filter if necessary,HAS_RESULT,Filter in good condition
Transmission Filter,REQUIRES_FIX,Replace Transmission Filter
Transmission,HAS_COMPONENT,Transmission Solenoid
Transmission Solenoid,SHOWS_SYMPTOM,Erratic shifting
Transmission Solenoid,SHOWS_SYMPTOM,Transmission won't shift gears
Transmission Solenoid,DIAGNOSED_BY,Test transmission solenoids for electrical continuity
Test transmission solenoids for electrical continuity,HAS_RESULT,Faulty solenoid
Test transmission solenoids for electrical continuity,HAS_RESULT,Solenoid working correctly
Transmission Solenoid,DIAGNOSED_BY,Inspect wiring harness for damage or corrosion
Inspect wiring harness for damage or corrosion,HAS_RESULT,Damaged/corroded wiring
Inspect wiring harness for damage or corrosion,HAS_RESULT,Intact wiring
Transmission Solenoid,REQUIRES_FIX,Replace Transmission Solenoid
Wheels & Tires,HAS_COMPONENT,Wheel Bearing
Wheel Bearing,SHOWS_SYMPTOM,Grinding noise from wheels
Wheel Bearing,SHOWS_SYMPTOM,Uneven tire wear
Wheel Bearing,DIAGNOSED_BY,Check wheel bearing for play
Check wheel bearing for play,HAS_RESULT,Loose/worn bearing
Check wheel bearing for play,HAS_RESULT,Bearing in good condition
Wheel Bearing,DIAGNOSED_BY,Inspect bearing for signs of damage or corrosion
Inspect bearing for signs of damage or corrosion,HAS_RESULT,Damaged/corroded bearing
Inspect bearing for signs of damage or corrosion,HAS_RESULT,Clean/intact bearing
Wheel Bearing,REQUIRES_FIX,Replace Wheel Bearing
Wheels & Tires,HAS_COMPONENT,Tire Pressure Monitoring System (TPMS)
Tire Pressure Monitoring System (TPMS),SHOWS_SYMPTOM,TPMS warning light on
Tire Pressure Monitoring System (TPMS),SHOWS_SYMPTOM,Low tire pressure
Tire Pressure Monitoring System (TPMS),DIAGNOSED_BY,Check tire pressures with gauge
Check tire pressures with gauge,HAS_RESULT,Low/high pressure
Check tire pressures with gauge,HAS_RESULT,Correct pressure
Tire Pressure Monitoring System (TPMS),DIAGNOSED_BY,Inspect TPMS sensors for damage or corrosion
Inspect TPMS sensors for damage or corrosion,HAS_RESULT,Damaged/corroded sensors
Inspect TPMS sensors for damage or corrosion,HAS_RESULT,Clean/intact sensors
Tire Pressure Monitoring System (TPMS),REQUIRES_FIX,Replace Tire Pressure Monitoring System (TPMS)
Wheels & Tires,HAS_COMPONENT,Wheel Hub
Wheel Hub,SHOWS_SYMPTOM,Clicking or popping noise when turning
Wheel Hub,SHOWS_SYMPTOM,Wheel wobbling
Wheel Hub,DIAGNOSED_BY,Inspect wheel hub for play or bearing noise
Inspect wheel hub for play or bearing noise,HAS_RESULT,Loose/worn hub
Inspect wheel hub for play or bearing noise,HAS_RESULT,Hub in good condition
Wheel Hub,DIAGNOSED_BY,Check wheel bearings for wear
Check wheel bearings for wear,HAS_RESULT,Worn bearings
Check wheel bearings for wear,HAS_RESULT,Bearings in good condition
Wheel Hub,REQUIRES_FIX,Replace Wheel Hub
